TopicArea,DatasetName,DataSource,Creator/Publisher,size(MB),Availability,DatePublished,LastUpdateDate,DataSetCharastrestic,MisingValues,Instances,NumberOfAtributes,ListOfAtributes,URL,Citation,Unnamed: 15
Tobacco Quitline,"TOBACCO QUITLINE CALLS BY YEAR, SMOKING AFTER WAKING, AND PREGNANCY GROUP",Indiana Department of Health,Indiana Department of Health,2.8 KiB,Free,2019-09-17,2020-10-02,CSV,No,100.0,4,"call_year	numeric		
pregnancygroup	text		
afterwaking	text		
count_personid	numeric",https://hub.mph.in.gov/dataset/9a710a21-7f52-44d8-ab93-c79826c78d48/resource/497895be-e571-4fca-81ff-b36b46bcd378/download/call_year_pgroup_waking_count.csv,https://hub.mph.in.gov/dataset/tobacco-quitline-calls-by-year-smoking-after-waking-and-pregnancy-group/resource/497895be-e571-4fca-81ff-b36b46bcd378#:~:text=TOBACCO%20QUITLINE%20CALLS%20BY%20YEAR%2C%20SMOKING%20AFTER...,
Tobacco Quitline,"TOBACCO QUITLINE CALLS BY ZIP, AVERAGE AGE, AND PREGNANCY GROUP",Indiana State Department of Health,Indiana State Department of Health,17.2 KiB,Free,2019-09-17,2020-10-02,CSV,No,784.0,3,"zip	numeric		
pregnancygroup	text		
avg_age	numeric",https://hub.mph.in.gov/dataset/e143ae08-99a4-4356-a532-b28f1a69ba03/resource/d4a113bc-3b7c-4387-af2e-a6a50b9e766d/download/zip_pgroup_age.csv,https://hub.mph.in.gov/dataset/tobacco-quitline-calls-by-zip-average-age-and-pregnancy-group/resource/d4a113bc-3b7c-4387-af2e-a6a50b9e766d#:~:text=TOBACCO%20QUITLINE%20CALLS%20BY%20ZIP%2C%20AVERAGE%20AGE%2C...,
Tobacco Quitline,"TOBACCO QUITLINE CALLS BY ZIP, AVERAGE CIGARETTES PER DAY, AND PREGNANCY GROUP",Indiana Department of Health,Indiana Department of Health,16.6 KiB,Free,2019-09-17,2020-10-02,CSV,No,784.0,3,"zip	numeric		
pregnancygroup	text		
avg_cigaretteperday	numeric",https://hub.mph.in.gov/dataset/678aef91-6eed-45b9-8bb6-ddb0704e0187/resource/abb14198-6d15-49ba-935b-bb66208fba8f/download/zip_pgroup_cig_perday.csv,https://hub.mph.in.gov/dataset/tobacco-quitline-calls-by-zip-average-cigarettes-per-day-and-pregnancy-group/resource/abb14198-6d15-49ba-935b-bb66208fba8f#:~:text=TOBACCO%20QUITLINE%20CALLS%20BY%20ZIP%2C%20AVERAGE...,
Tobacco Quitline,"TOBACCO QUITLINE CALLS BY ZIP, AVERAGE YEARS OF TOBACCO USE, AND PREGNANCY GROUP",Indiana Department of Health,Indiana Department of Health,15.1 KiB,Free,2019-09-17,2020-10-02,CSV,No,784.0,3,"zip	numeric		
pregnancygroup	text		
avg_yearsoftobaccouse	numeric",https://hub.mph.in.gov/dataset/ce52c8da-8160-4709-9012-25e4c31ec889/resource/e4cec148-c2d9-4e16-8aa4-2e9fd5b07567/download/zip_pgroup_use.csv,https://hub.mph.in.gov/dataset/tobacco-quitline-calls-by-zip-average-years-of-tobacco-use-and-pregnancy-group/resource/e4cec148-c2d9-4e16-8aa4-2e9fd5b07567#:~:text=TOBACCO%20QUITLINE%20CALLS%20BY%20ZIP%2C%20AVERAGE%20YEARS...,
Tobacco Quitline,"TOBACCO QUITLINE CALLS BY ZIP, COUNT, AND PREGNANCY GROUP",Indiana Department of Health,Indiana Department of Health,14.7 KiB,Free,2019-09-17,2020-10-02,CSV,No,784.0,3,"zip	numeric		
pregnancygroup	text		
count_personid	numeric",https://hub.mph.in.gov/dataset/bc41aaef-bbce-4c31-ac1f-3884b116cd51/resource/0c95a3d4-907a-4e0b-8bf5-e9d21749cd28/download/zip_pgroup_count.csv,https://hub.mph.in.gov/dataset/tobacco-quitline-calls-by-zip-count-and-pregnancy-group/resource/0c95a3d4-907a-4e0b-8bf5-e9d21749cd28#:~:text=TOBACCO%20QUITLINE%20CALLS%20BY%20ZIP%2C%20COUNT%2C%20AND...,
Tobacco Quitline,"TOBACCO QUITLINE CALLS BY ZIP, COUNT, EDUCATION ATTAINMENT LEVEL, AND PREGNANCY GROUP",Indiana Department of Health,Indiana Department of Health,60.7 KiB,Free,2019-09-17,2020-10-02,CSV,No,2000.0,4,"zip	numeric		
pregnancygroup	text		
education	text		
count_personid	numeric",https://hub.mph.in.gov/dataset/b148f604-d91a-42ae-bcf4-4a0ec0a5f010/resource/c57ae12d-6838-49ff-ae41-4d7ed44af24f/download/zip_pgroup_ed.csv,https://hub.mph.in.gov/dataset/tobacco-quitline-calls-by-zip-count-education-attainment-level-and-pregnancy-group/resource/c57ae12d-6838-49ff-ae41-4d7ed44af24f#:~:text=TOBACCO%20QUITLINE%20CALLS%20BY%20ZIP%2C%20COUNT%2C...,
Tobacco Quitline,"TOBACCO QUITLINE CALLS BY ZIP, SMOKING AFTER WAKING, AND PREGNANCY GROUP",Indiana State Department of Health,Indiana State Department of Health,36.3 KiB,Free,2019-09-17,2020-10-02,CSV,N0,1000.0,4,"zip	numeric		
pregnancygroup	text		
afterwaking	text		
count_personid	numeric",https://hub.mph.in.gov/dataset/e698cedb-c0a4-4613-948f-39a194d979fd/resource/866f57bd-9cd5-4e70-8b9f-ca7cd096b7d9/download/zip_pgroup_waking_count.csv,https://hub.mph.in.gov/dataset/tobacco-quitline-calls-by-zip-smoking-after-waking-and-pregnancy-group/resource/866f57bd-9cd5-4e70-8b9f-ca7cd096b7d9#:~:text=TOBACCO%20QUITLINE%20CALLS%20BY%20ZIP%2C%20SMOKING%20AFTER...,
Tobacco Quitline,"TOBACCO QUITLINE CALLS BY ZIP, SMOKING AFTER WAKING, AND PREGNANCY GROUP",Indiana State Department of Health,Indiana State Department of Health,36.3 KiB,Free,2019-09-17,2020-10-02,CSV,No,1000.0,4,"zip	numeric		
pregnancygroup	text		
afterwaking	text		
count_personid	numeric",https://hub.mph.in.gov/dataset/e698cedb-c0a4-4613-948f-39a194d979fd/resource/866f57bd-9cd5-4e70-8b9f-ca7cd096b7d9/download/zip_pgroup_waking_count.csv,https://hub.mph.in.gov/dataset/tobacco-quitline-calls-by-zip-smoking-after-waking-and-pregnancy-group/resource/866f57bd-9cd5-4e70-8b9f-ca7cd096b7d9#:~:text=TOBACCO%20QUITLINE%20CALLS%20BY%20ZIP%2C%20SMOKING%20AFTER...,
Covid-19,COVID-19 COUNTY CATEGORIZATION SCORES,Indiana State Department of Health,Indiana State Department of Health,16.3 KiB,Free,2020-09-02,2022-03-30,CSV,No,92.0,12,"County	text		
FIPS	numeric		
Cases	numeric		
Case Rate	numeric		
Case Score	numeric		
Positivity Rate	numeric		
Positivity Score	numeric		
County Score	numeric		
County Score Color	text		
Advisory Level	text		
Previous Positivity	numeric		
Difference in Positivity	numeric",https://hub.mph.in.gov/dataset/3511aa89-e710-4b72-9468-003044ccd0e8/resource/3db61861-f7dc-4b5d-a917-cb5d1a845afd/download/countyscores.xlsx,"https://hub.mph.in.gov/dataset/covid-19-county-categorization-scores/resource/3db61861-f7dc-4b5d-a917-cb5d1a845afd#:~:text=Data%20API-,COVID%2D19%20COUNTY%20CATEGORIZATION%20SCORES,-URL%3A%20https",
Healthcare,VOLUNTEER HEALTHCARE REGISTRY,http://in.gov/pla/3944.htm,Eric Burton,_,Free,2017-11-27,2017-11-27,CSV,No,491.0,9,"Last Name	text		
First Name	text		
City	text		
State	text		
Zip Code	numeric		
County	text		
License Type	text		
License #	text		
Status	text		
Issue Date	timestamp		
Expiration Date	timestamp",https://hub.mph.in.gov/dataset/92b80f51-ec34-4e10-a0b6-6a8fa609ee94/resource/4dc1f255-e98c-4ce7-814a-fbef51f48960/download/volunteer-healthcare-registry_june2017.csv,"https://hub.mph.in.gov/dataset/volunteer-healthcare-registry/resource/4dc1f255-e98c-4ce7-814a-fbef51f48960#:~:text=Data%20API-,VOL%20HEALTHCARE%20REGISTRY_JUNE2017,-URL%3A%20https",
Ob-Gyn Providers,COUNT OF OB-GYN PROVIDERS BY COUNTY,Indiana State Department of Health,Management Performance Hub,781 bytes,Free,2019-09-24,,CSV,No,68.0,2,"county, provider",https://hub.mph.in.gov/dataset/6340d6a1-e4c0-4567-afe5-6344e45cfb68/resource/11cbac83-15e1-4ebf-b366-fb0425745373/download/count-of-ob-gyn-providers-by-county.csv,"https://hub.mph.in.gov/dataset/count-of-ob-gyn-providers-by-county/resource/11cbac83-15e1-4ebf-b366-fb0425745373#:~:text=Download-,COUNT%20OF%20OB%2DGYN%20PROVIDERS%20BY%20COUNTY,-URL%3A%20https",
Hospital,COUNTIES WITH OR WITHOUT HOSPITAL OR INPATIENT DELIVERY SERVICES AVAILABLE,Indiana State Department of Health,Management Performance Hub,11 KiB,Free,2019-09-24,2019-09-24,CSV,No,92.0,3,"county, county with inpatient delivery services, county with hospital",https://hub.mph.in.gov/dataset/eb2f688f-d3cb-4c57-a83b-4400cc7309f0/resource/8d6f3b48-571c-4812-9008-04f9c4d34a6d/download/counties-with-or-without-hospitals-and-inpatient-delivery-services.xlsx,https://hub.mph.in.gov/dataset/counties-without-hospital-or-inpatient-delivery-services-available/resource/8d6f3b48-571c-4812-9008-04f9c4d34a6d#:~:text=COUNTIES%20WITH%20OR%20WITHOUT%20HOSPITAL%20OR%20INPATIENT...,
Facility Locations,STATE OPERATED FACILITY LOCATIONS,Indiana Family and Social Services Administration,Indiana Family and Social Services Administration,9.2 KiB,Free,2019-06-04,2019-06-04,CSV,No,6.0,8,services-provider name- address- city- state- zipcode- longitude- latitude,https://hub.mph.in.gov/dataset/0d0e0d77-34c3-447f-8a3d-69ae2f34a94c/resource/39092879-3cdc-4c54-b1c4-4053a7d1a6fa/download/state-operated-facilities.xlsx,"https://hub.mph.in.gov/dataset/state-operated-facilities/resource/39092879-3cdc-4c54-b1c4-4053a7d1a6fa#:~:text=Download-,STATE%20OPERATED%20FACILITY%20LOCATIONS,-URL%3A%20https",
Healthcare Coordination Provider,BEHAVIORAL & PRIMARY HEALTHCARE COORDINATION PROVIDER LOCATION,Indiana Family and Social Services Administration,Indiana Family and Social Services Administration,12.2 KiB,Free,2019-06-04,2019-06-04,CSV,No,22.0,8,services-provider name- address- city- state- zipcode- longitude- latitude,https://hub.mph.in.gov/dataset/173dc1a5-b0ce-4072-ab16-61287b7bdf12/resource/80f4fc39-dfae-4da7-aa22-6bae375244ec/download/behavioral-primary-healthcare-coordination.xlsx,https://hub.mph.in.gov/dataset/behavioral-primary-healthcare-coordination/resource/80f4fc39-dfae-4da7-aa22-6bae375244ec#:~:text=BEHAVIORAL%20%26%20PRIMARY%20HEALTHCARE%20COORDINATION...,
Births And Infant Deaths,INDIANA BIRTHS AND INFANT DEATHS,Indiana State Department of Health,Management Performance Hub,112.9 MiB,Free,2019-09-17,2020-11-30,CSV,No,,not availabel at the moment,not availabel at the moment,https://hub.mph.in.gov/dataset/8cb070ed-8aa0-4645-a0bf-5a5413c44a38/resource/77a62f49-d060-4c9d-a47a-20fa0e3f974e/download/indiana-births-and-infant-deaths_2020.csv,"https://hub.mph.in.gov/dataset/indiana-births-and-infant-deaths/resource/77a62f49-d060-4c9d-a47a-20fa0e3f974e#:~:text=Download-,INDIANA%20BIRTHS%20AND%20INFANT%20DEATHS,-URL%3A%20https",
Covid-19,COVID-19 CASES BY SCHOOl,RedCap/Principal Portal,Indiana State Department of Health,326.2 KiB,Free,2020-10-09,2022-03-28,CSV,No,5000.0,14,"school_id	text		
school_name	text		
county_fips	numeric		
school_address	text		
school_county	text		
school_zip	text		
school_city	text		
longitude	numeric		
latitude	numeric		
student_total_cases	text		
teacher_total_cases	text		
staff_total_cases	text		
submission_status	text		
school_year	numeric",https://hub.mph.in.gov/dataset/61c058c1-abfc-48fb-9bd7-bbf052fe61d6/resource/39239f34-11ff-4dfc-9b9a-a408b0399458/download/covid_report_cases_by_school.xlsx,"https://hub.mph.in.gov/dataset/covid-19-cases-by-school/resource/39239f34-11ff-4dfc-9b9a-a408b0399458#:~:text=Data%20API-,COVID%2D19%20CASES%20BY%20SCHOOL,-URL%3A%20https",
Infant Mortality,"INFANT MORTALITY BY COUNTY, YEAR, AND UNDERLYING CAUSE OF DEATH",Indiana Department of Health,Management Performance Hub,188 KiB,Free,2019-09-17,2020-10-02,CSV,No,3000.0,8,"CNTY	text		
CHILD_DEATH_YR	numeric		
UNDERLYING_COD	text		
CNT_BY_UNDERLYING_COD	numeric		
CNTY_YR_DEATH_TOTAL	numeric		
PCT_CNTY_YR_TOTAL	numeric		
CHILD_DEATH_CNTY_POP	numeric		
CNTY_YR_DEATH_TOTAL_PER_100000_CNTY_RES	numeric",https://hub.mph.in.gov/dataset/db835ab2-f3fa-4fd7-98ea-5414740551e3/resource/16536d16-4b28-4493-a6c2-4818b9e8ee56/download/infant-mortality-by-county-year-and-underlying-cause-of-death_2020.csv,https://hub.mph.in.gov/dataset/infant-mortality-by-county-year-and-underlying-cause-of-death/resource/16536d16-4b28-4493-a6c2-4818b9e8ee56#:~:text=INFANT%20MORTALITY%20BY%20COUNTY%20YEAR%20AND%20UNDERLYING...,
Provider Locations,FIRST STEPS PROVIDER LOCATIONS,Indiana Family and Social Services Administration,Indiana Family and Social Services Administration,9.5 KiB,Free,2019-06-04,2019-06-04,CSV,No,9.0,8,services-provider name- address- city- state- zipcode- longitude- latitude,https://hub.mph.in.gov/dataset/6a2ac9b5-8979-4eea-870f-048fb7ee0285/resource/06196519-9daf-4bb8-9e95-c5bc77ea52d4/download/first-steps.xlsx,"https://hub.mph.in.gov/dataset/first-steps/resource/06196519-9daf-4bb8-9e95-c5bc77ea52d4#:~:text=Download-,FIRST%20STEPS%20PROVIDER%20LOCATIONS,-URL%3A%20https",
Covid-19,COVID-19 CENSUS BY PUI AND CONFIRMED,ISDH - REDCAP,Indiana State Department of Health,32.2 KiB,Free,2020-08-24,2023-04-05,XLSX,No,1000.0,4,"DATE	timestamp		
TOTAL COVID19 PATIENTS	numeric		
CONFIRMED COVID19 PATIENTS	numeric		
COVID19 PUI PATIENTS	numeric",https://hub.mph.in.gov/dataset/d57037d4-6dab-4f09-9905-9349e9180ce9/resource/efa7b90c-b204-4618-9436-e33aac140e71/download/covid_report_puibed_date.xlsx,"https://hub.mph.in.gov/dataset/covid-19-census-by-pui-and-confirmed/resource/efa7b90c-b204-4618-9436-e33aac140e71#:~:text=Data%20API-,COVID%2D19%20CENSUS%20BY%20PUI%20AND%20CONFIRMED,-URL%3A%20https",
Covid-19,COVID-19 CASE AND DEATH REPORTING IN LTC FACILITIES,ISDH - REDCAP,Indiana State Department of Health,30.4 KiB,Free,2020-08-13,2022-05-04,XLSX,No,812.0,5,"facility_name	text		
facility_submission_status	text		
infected_residents	text		
infected_staff	text		
resident_deaths	text",https://hub.mph.in.gov/dataset/c2c241cf-cf92-4870-9ac3-a59328f12c33/resource/61487163-7efb-42ee-bcb7-fa1c720debdd/download/ltc_facility_cases_and_deaths.xlsx,"https://hub.mph.in.gov/dataset/covid-19-case-and-death-reporting-in-ltc-facilities/resource/61487163-7efb-42ee-bcb7-fa1c720debdd#:~:text=Data%20API-,COVID%2D19%20CASE%20AND%20DEATH%20REPORTING%20IN%20LTC%20FACILITIES,-URL%3A%20https",
Children Born,INFANT CLAIMS BY RECIPIENT COUNTY,Indiana Family and Social Services Administration,Indiana Family and Social Services Administration,3.2 KiB,Free,2019-08-30,2020-10-02,CSV,No,93.0,4,"COUNTY	text		
TOTAL_CLAIMS	numeric		
TOTAL_COST	numeric		
MEDIAN_COST	numeric",https://hub.mph.in.gov/dataset/d72a6291-8b56-4a5b-bc1c-bfdfd71b6dd1/resource/209bf480-bae2-4518-ba0d-244f21c825eb/download/infant-claims-by-recipient-county.csv,"https://hub.mph.in.gov/dataset/infant-claims-by-recipient-county/resource/209bf480-bae2-4518-ba0d-244f21c825eb#:~:text=Data%20API-,INFANT%20CLAIMS%20BY%20RECIPIENT%20COUNTY,-URL%3A%20https",
Mothers With A Live Birth,COUNT OF MOTHERS BY RECIPIENT COUNTY,Indiana Family and Social Services Administration,Indiana Family and Social Services Administration,1.6 KiB,Free,2019-08-30,2020-10-02,CSV,No,93.0,2,"COUNTY	text		
RECIPIENTS	numeric",https://hub.mph.in.gov/dataset/74881778-735c-4260-9a62-f8afe4cd46a0/resource/9b18a616-681c-4844-ab80-1ab46dd3dff0/download/count-of-mothers-by-recipient-county.csv,"https://hub.mph.in.gov/dataset/count-of-mothers-by-recipient-county/resource/9b18a616-681c-4844-ab80-1ab46dd3dff0#:~:text=Data%20API-,COUNT%20OF%20MOTHERS%20BY%20RECIPIENT%20COUNTY,-URL%3A%20https",
Children Born Between 07/2016 And 07/2020,BIRTH COUNT BY RECIPIENT COUNTY,Indiana Family and Social Services Administration,Indiana Family and Social Services Administration,1.6 KiB,Free,2019-08-30,2020-10-02,CSV,No,93.0,2,"COUNTY	text		
RECIPIENTS	numeric",https://hub.mph.in.gov/dataset/55e2cbf7-085d-4086-84dd-79613d06aa23/resource/59faf526-d40f-432f-83e9-fc4bfe3179fc/download/birth-count-by-recipient-county.csv,"https://hub.mph.in.gov/dataset/birth-count-by-recipient-county/resource/59faf526-d40f-432f-83e9-fc4bfe3179fc#:~:text=Data%20API-,BIRTH%20COUNT%20BY%20RECIPIENT%20COUNTY,-URL%3A%20https",
Growth Restriction,"RATE OF INTRAUTERINE GROWTH RESTRICTION AND PREECLAMPSIA BY YEAR, GENDER, AND ZIP",Regenstrief Institute,Regenstrief Institute,9.2 KiB,Free,2019-09-12,2020-10-02,CSV,No,140.0,7,"zip_code	numeric		
year	numeric		
iugr	numeric		
preeclampsia	numeric		
male	numeric		
female	numeric		
unknown	numeric",https://hub.mph.in.gov/dataset/dcdcee0c-ca93-4586-af9c-c843046ffc92/resource/6776c647-2d76-44e1-93fe-02b4ee739dde/download/regenstrief_momandbaby_datapalooza.csv,https://hub.mph.in.gov/dataset/mothers-diagnosed-with-intrauterine-growth-restriction-iurg-or-pre-eclampsia-by-zipcode/resource/6776c647-2d76-44e1-93fe-02b4ee739dde#:~:text=RATE%20OF%20INTRAUTERINE%20GROWTH%20RESTRICTION%20AND...,
Covid-19,COVID-19 CASES BY ZIP,ISDH - NBS,"ISDH, FSSA",23.5 KiB,Free,2022-03-21,2022-03-21,CSV,No,770.0,4,"ZIP_CD	text		
PATIENT_COUNT	text		
POPULATION	text		
PERCENTAGE	text",https://hub.mph.in.gov/dataset/14a59397-9ebc-4902-a7c7-fd7ca3c08101/resource/3ea01356-42e4-42aa-8935-493709313ca3/download/covid_count_per_zip_all.csv,"https://hub.mph.in.gov/dataset/covid-19-cases-by-zip/resource/3ea01356-42e4-42aa-8935-493709313ca3#:~:text=Data%20API-,COVID%2D19%20CASES%20BY%20ZIP,-URL%3A%20https",
Covid-19,COVID-19 CASE DEMOGRAPHICS BY COUNTY AND DISTRICT,ISDH - NBS/PHESS,Indiana State Department of Health,134.6 KiB,Free,2023-03-16,2023-03-16,CSV,NO,306.0,10,"location_level	text		
location_id	numeric		
ethnicity	text		
covid_test	numeric		
covid_count	numeric		
covid_deaths	numeric		
covid_test_pct	numeric		
covid_count_pct	numeric		
covid_deaths_pct	numeric		
county_name	text",https://hub.mph.in.gov/dataset/07e12c46-eb38-43cf-b9e1-46a9c305beaa/resource/b51430dc-fb8e-4af7-94fc-f9918c79fdca/download/covid_report_demographics_county_district_historical.xlsx,https://hub.mph.in.gov/dataset/covid-19-case-demographics-by-county/resource/b51430dc-fb8e-4af7-94fc-f9918c79fdca#:~:text=03/15/2023%3A%20HISTORICAL%20COVID%2D19%20CASE...,
Covid-19,COVID-19 CASE DEMOGRAPHICS BY COUNTY AND DISTRICT,ISDH - NBS,Indiana State Department of Health,8.3 KiB,Free,2023-03-16,2023-03-16,XLSX,No,3.0,7,"ETHNICITY        text                
COVID_TEST        numeric                
COVID_COUNT        numeric                
COVID_DEATHS        numeric                
COVID_TEST_PCT        numeric                
COVID_COUNT_PCT        numeric                
COVID_DEATHS_PCT        numeric",https://hub.mph.in.gov/dataset/62ddcb15-bbe8-477b-bb2e-175ee5af8629/resource/416eafbc-672c-46db-a7ca-c7b187fcdc9f/download/covid_report_demographics_historical.xlsx,https://hub.mph.in.gov/dataset/covid-19-case-demographics/resource/416eafbc-672c-46db-a7ca-c7b187fcdc9f#:~:text=03/15/2023%3A%20HISTORICAL%20COVID%2D19%20CASE%20DEMOGRAPHICS,
Covid-19,HISTORICAL COVID-19 CASE...,ISDH - NBS,Indiana State Department of Health,8.4 KiB,Free,2023-03-16,2023-03-16,XLSX,No,9.0,2,"Field Name	text		
Field Description	text",https://hub.mph.in.gov/dataset/62ddcb15-bbe8-477b-bb2e-175ee5af8629/resource/d343ba0b-0314-49a9-8a65-b4cb1a21e6bf/download/covid-19_case_demographics_datadictionary_historical.xlsx,https://hub.mph.in.gov/dataset/covid-19-case-demographics/resource/d343ba0b-0314-49a9-8a65-b4cb1a21e6bf#:~:text=03/15/2023%3A%20HISTORICAL%20COVID%2D19%20CASE...,
Covid-19,COVID_REPORT_DEMOGRAPHICS.XLSX,ISDH - NBS,Indiana State Department of Health,7.9 KiB,Free,2023-03-16,2023-04-05,XLSX,No,3.0,5,"ETHNICITY	text		
COVID_COUNT	numeric		
COVID_DEATHS	numeric		
COVID_COUNT_PCT	numeric		
COVID_DEATHS_PCT	numeric",https://hub.mph.in.gov/dataset/62ddcb15-bbe8-477b-bb2e-175ee5af8629/resource/a82203e7-7ac4-4c3e-a6f4-67390fbd609a/download/covid_report_demographics.xlsx,"https://hub.mph.in.gov/dataset/covid-19-case-demographics/resource/a82203e7-7ac4-4c3e-a6f4-67390fbd609a#:~:text=Data%20API-,COVID_REPORT_DEMOGRAPHICS.XLSX,-URL%3A%20https",
Covid-19,COVID-19 DEATHS BY DATE BY AGE GROUP,ISDH - VR or NBS,Indiana State Department of Health,66.4 KiB,Free,2020-08-14,2023-04-05,XLSX,No,4000.0,3,"date	timestamp		
agegrp	text		
covid_deaths	numeric",https://hub.mph.in.gov/dataset/6bcfb11c-6b9e-44b2-be7f-a2910d28949a/resource/7661f008-81b5-4ff2-8e46-f59ad5aad456/download/covid_report_death_date_agegrp.xlsx,"https://hub.mph.in.gov/dataset/covid-19-deaths-by-date-by-age-group/resource/7661f008-81b5-4ff2-8e46-f59ad5aad456#:~:text=Data%20API-,COVID%2D19%20DEATHS%20BY%20DATE%20BY%20AGE%20GROUP,-URL%3A%20https",
Covid-19,COVID-19 CASE DATA,"ISDH, FSSA",Indiana State Department of Health,15.6 MiB,Free,2020-04-06,2023-04-05,XLSX,No,314000.0,6,"LOCATION_ID	numeric		
GENDER	text		
AGEGRP	text		
DATE	timestamp		
COVID_COUNT	numeric		
COUNTY_NAME	text",https://hub.mph.in.gov/dataset/6b57a4f2-b754-4f79-a46b-cff93e37d851/resource/46b310b9-2f29-4a51-90dc-3886d9cf4ac1/download/covid_report.xlsx,"https://hub.mph.in.gov/dataset/covid-19-case-data/resource/46b310b9-2f29-4a51-90dc-3886d9cf4ac1#:~:text=Data%20API-,COVID%2D19%20CASE%20DATA,-URL%3A%20https",
Service Provider,BLIND & VISUALLY IMPAIRED SERVICE PROVIDER LOCATIONS,Indiana Family and Social Services Administration,Indiana Family and Social Services Administration,10.7 KiB,Free,2019-06-04,2019-06-04,XLSX,No,6.0,8,services-provider name- address- city- state- zipcode- longitude- latitude,https://hub.mph.in.gov/dataset/c77ad3c4-fc0f-4d89-8dbe-a1bba79ea64a/resource/e2c129c4-5dfe-4542-bf55-444c0c3a3284/download/blind-visually-impaired-services.xlsx,"https://hub.mph.in.gov/dataset/blind-visually-impaired-services/resource/e2c129c4-5dfe-4542-bf55-444c0c3a3284#:~:text=Download-,BLIND%20%26%20VISUALLY%20IMPAIRED%20SERVICE%20PROVIDER%20LOCATIONS,-URL%3A%20https",
Mothers With Substance Use,PRESCRIPTION RELATED CLAIMS OF MOTHERS WITH SUBSTANCE USE BY RECIPIENT COUNTY,Indiana Family and Social Services Administration,Indiana Family and Social Services Administration,6.2 KiB,Free,2019-09-03,2020-10-02,CSV,No,87.0,9,"COUNTY	text		
TOTAL_PRESCRIPTIONS	numeric		
TOTAL_PRESCRIPTION_COST	numeric		
TOTAL_PRESCRIPTIONS_PREBIRTHING_EVENT	numeric		
PRESCRIPTION_COST_PREBIRTHING_EVENT	numeric		
PREBIRTHING_MEDIAN_COST	numeric		
TOTAL_PRESCRIPTIONS_POSTBIRTHING_EVENT	numeric		
PRESCRIPTION_COST_POSTBIRTHING_EVENT	numeric		
POSTBIRTHING_MEDIAN_COST	numeric",https://hub.mph.in.gov/dataset/b3ed9eaa-cb54-44ef-bf83-0fb272999e2b/resource/2f636563-172a-4efc-98c0-15bd45be3610/download/prescription-related-claims_substance-use.csv,https://hub.mph.in.gov/dataset/prescription-related-claims-of-mothers-with-substance-use-by-recipient-county/resource/2f636563-172a-4efc-98c0-15bd45be3610#:~:text=PRESCRIPTION%20RELATED%20CLAIMS%20OF%20MOTHERS%20WITH...,
Mothers With Pre-Term Delivery,PRESCRIPTION RELATED CLAIMS OF MOTHERS WITH PRE-TERM DELIVERY BY RECIPIENT COUNTY,Indiana Family and Social Services Administration,Indiana Family and Social Services Administration,3.8 KiB,Free,2019-09-03,2020-10-02,CSV,No,53.0,9,"COUNTY	text		
TOTAL_PRESCRIPTIONS	numeric		
TOTAL_PRESCRIPTION_COST	numeric		
TOTAL_PRESCRIPTIONS_PREBIRTHING_EVENT	numeric		
PRESCRIPTION_COST_PREBIRTHING_EVENT	numeric		
PREBIRTHING_MEDIAN_COST	numeric		
TOTAL_PRESCRIPTIONS_POSTBIRTHING_EVENT	numeric		
PRESCRIPTION_COST_POSTBIRTHING_EVENT	numeric		
POSTBIRTHING_MEDIAN_COST	numeric",https://hub.mph.in.gov/dataset/07146ade-a340-47f3-9839-ef01c619dc62/resource/a6e70e65-e868-4023-a166-9dab80352d3c/download/prescription-related-claims_preterm-delivery.csv,https://hub.mph.in.gov/dataset/prescription-related-claims-of-mothers-with-pre-term-delivery-by-recipient-county/resource/a6e70e65-e868-4023-a166-9dab80352d3c#:~:text=PRESCRIPTION%20RELATED%20CLAIMS%20OF%20MOTHERS%20WITH...,
Mothers With Diabetes,PRESCRIPTION RELATED CLAIMS OF MOTHERS WITH DIABETES BY RECIPIENT COUNTY,Indiana Family and Social Services Administration,Indiana Family and Social Services Administration,5.2 KiB,Free,2019-08-30,2020-10-02,CSV,No,73.0,9,"COUNTY	text		
TOTAL_PRESCRIPTIONS	numeric		
TOTAL_PRESCRIPTION_COST	numeric		
TOTAL_PRESCRIPTIONS_PREBIRTHING_EVENT	numeric		
PRESCRIPTION_COST_PREBIRTHING_EVENT	numeric		
PREBIRTHING_MEDIAN_COST	numeric		
TOTAL_PRESCRIPTIONS_POSTBIRTHING_EVENT	numeric		
PRESCRIPTION_COST_POSTBIRTHING_EVENT	numeric		
POSTBIRTHING_MEDIAN_COST	numeric",https://hub.mph.in.gov/dataset/9ba31ad1-3876-4291-9260-a4aa670de16c/resource/ee28629b-afe0-4463-9513-712958474c07/download/prescription-related-claims_diabetes-by-recipient-county.csvv,https://hub.mph.in.gov/dataset/prescription-related-claims-of-mothers-with-diabetes-by-recipient-county/resource/ee28629b-afe0-4463-9513-712958474c07#:~:text=PRESCRIPTION%20RELATED%20CLAIMS%20OF%20MOTHERS%20WITH...,
